No.,作品名,文字遣い種別,著者名,著者基本名,翻訳者名等
1,ああ華族様だよ　と私は嘘を吐くのであった,新字新仮名,渡辺 温,　,
2,ア、秋,新字新仮名,太宰 治,　,
3,ああ玉杯に花うけて,新字新仮名,佐藤 紅緑,　,
4,アーサー王物語,旧字旧仮名,テニソン アルフレッド,　,
5,「ああしんど」,新字新仮名,池田 蕉園,　,
6,ああ東京は食い倒れ,新字新仮名,古川 緑波,　,
7,アーニイ・パイルの前に立ちて,新字新仮名,小林 一三,　,
8,あゝ二十年,新字新仮名,上村 松園,　,
9,Ｒ漁場と都の酒場で,新字旧仮名,牧野 信一,　,
10,愛,新字旧仮名,岡本 かの子,　,
11,愛,新字新仮名,宮本 百合子,　,
12,愛,新字新仮名,岡本 かの子,　,
13,"I Am Not A Poet, But I Am A Poet.",新字旧仮名,牧野 信一,　,
14,藍色の蟇,新字旧仮名,大手 拓次,　,
15,Ｉ駅の一夜,新字新仮名,中谷 宇吉郎,　,
16,合縁奇縁,新字新仮名,佐々木 邦,　,
17,「愛怨峡」における映画的表現の問題,新字新仮名,宮本 百合子,　,
18,哀音,新字旧仮名,末吉 安持,　,
19,愛か,新字新仮名,李 光洙,　,
20,哀歌,新字旧仮名,森川 義信,　,
21,藍瓶,新字新仮名,田中 貢太郎,　,
22,相川おけさ,旧字旧仮名,江南 文三,　,
23,I can speak,新字新仮名,太宰 治,　,
24,愛卿伝,新字新仮名,田中 貢太郎,　,
25,愛国歌小観,旧字旧仮名,斎藤 茂吉,　,
26,『愛国心』私はこう思う,新字新仮名,知里 真志保,　,
27,愛国百人一首に関連して,旧字旧仮名,斎藤 茂吉,　,
28,愛国百人一首評釈,旧字旧仮名,斎藤 茂吉,　,
29,愛護若,新字旧仮名,折口 信夫,　,
30,愛妻家の一例,新字旧仮名,岸田 国士,　,
31,哀詞序,新字旧仮名,北村 透谷,　,
32,哀詩数篇,新字旧仮名,漢那 浪笛,　,
33,逢状,新字新仮名,吉井 勇,　,
34,愛情,新字旧仮名,林 芙美子,　,
35,愛書癖,新字新仮名,辰野 隆,　,
36,愛人と厭人,新字旧仮名,宮原 晃一郎,　,
37,合図の旗,新字新仮名,宮本 百合子,　,
38,愛する人達,新字旧仮名,林 芙美子,　,
39,愛ちやんの夢物語,旧字旧仮名,キャロル ルイス,　,
40,愛陶語録,新字新仮名,北大路 魯山人,　,
41,愛読作家についての断片,新字新仮名,平林 初之輔,　,
42,愛読した本と作家から,新字新仮名,黒島 伝治,　,
43,愛読書の印象,新字旧仮名,芥川 竜之介,　,
44,愛と婚姻,新字旧仮名,泉 鏡花,　,
45,「愛と死」,新字新仮名,宮本 百合子,　,
46,愛と月の犬,新字新仮名,マッケナ リチャード・ミルトン,　,
47,愛と認識との出発,新字新仮名,倉田 百三,　,
48,愛と美について,新字新仮名,太宰 治,　,
49,愛と平和を理想とする人間生活,新字新仮名,宮本 百合子,　,
50,愛に就ての問題,新字新仮名,小川 未明,　,
